"ds","y"
"2022-11-15",64.13
"2022-11-14",63.95
"2022-11-10",61.16
"2022-11-9",61.67
"2022-11-8",60.95
"2022-11-7",61.47
"2022-11-4",61.91
"2022-11-3",58.38
"2022-11-2",57.04
"2022-10-31",55.04
"2022-10-28",55.27
"2022-10-27",54.45
"2022-10-26",52.19
"2022-10-25",50.62
"2022-10-24",49.865
"2022-10-21",50.325
"2022-10-20",50.59
"2022-10-19",51.2
"2022-10-18",51.98
"2022-10-17",54.01
"2022-10-14",53.75
"2022-10-13",52.21
"2022-10-12",52.63
"2022-10-11",52.99
"2022-10-10",53.81
"2022-10-7",54.13
"2022-10-6",55.19
"2022-10-5",55.09
"2022-10-4",54.57
"2022-10-3",52.5
"2022-9-30",54.29
"2022-9-29",54.18
"2022-9-28",53.26
"2022-9-27",53.19
"2022-9-26",51.87
"2022-9-23",56.6
"2022-9-22",58.22
"2022-9-21",57.42
"2022-9-20",57.47
"2022-9-19",56.98
"2022-9-16",56.69
"2022-9-15",56.49
"2022-9-14",56.68
"2022-9-13",57.7
"2022-9-12",57.86
"2022-9-9",56.72
"2022-9-8",56.88
"2022-9-7",57.28
"2022-9-6",58.19
"2022-9-5",59.6
"2022-9-2",58.71
"2022-9-1",58.8
"2022-8-31",60.41
"2022-8-30",62.7
"2022-8-29",62.71
"2022-8-26",63.66
"2022-8-25",65.66
"2022-8-24",67.14
"2022-8-23",67.39
"2022-8-22",66.45
"2022-8-19",68.17
"2022-8-18",67.72
"2022-8-17",68.38
"2022-8-16",70.43
"2022-8-12",71.73
"2022-8-11",71.42
"2022-8-10",70.65
"2022-8-9",70.9
"2022-8-8",71.05
"2022-8-5",72.31
"2022-8-4",73.27
"2022-8-3",74.99
"2022-8-2",75.77
"2022-8-1",75.47
"2022-7-29",74.07
"2022-7-28",75.15
"2022-7-27",75.12
"2022-7-26",74.8
"2022-7-25",75.58
"2022-7-22",74.71
"2022-7-21",73.92
"2022-7-20",73.55
"2022-7-19",72.19
"2022-7-18",71.43
"2022-7-15",67.96
"2022-7-14",68.86
"2022-7-13",70.7
"2022-7-12",70.19
"2022-7-11",70.6
"2022-7-8",71.75
"2022-7-7",69.16
"2022-7-6",68.84
"2022-7-5",70.44
"2022-7-4",69.89
"2022-7-1",68.95
"2022-6-30",68.77
"2022-6-29",69.08
"2022-6-28",68.44
"2022-6-27",66.23
"2022-6-24",64.95
"2022-6-23",65.58
"2022-6-22",66.98
"2022-6-21",68.1
"2022-6-20",67.02
"2022-6-17",68.55
"2022-6-15",70.39
"2022-6-14",70.2
"2022-6-13",70.68
"2022-6-10",71.88
"2022-6-9",73.43
"2022-6-8",73.94
"2022-6-7",73.55
"2022-6-6",73.94
"2022-6-3",71.77
"2022-6-2",71.54
"2022-5-31",74.29
"2022-5-30",71.94
"2022-5-27",70.99
"2022-5-26",71.39
"2022-5-25",71.76
"2022-5-24",71.85
"2022-5-23",72.14
"2022-5-20",71.23
"2022-5-19",71.37
"2022-5-18",73.66
"2022-5-17",74.07
"2022-5-16",73.61
"2022-5-13",72.32
"2022-5-12",70.31
"2022-5-11",73.72
"2022-5-10",74.43
"2022-5-6",72.7
"2022-5-5",73.5
"2022-5-4",73.52
"2022-5-2",73.61
"2022-4-29",76.3
"2022-4-28",75.95
"2022-4-27",74.97
"2022-4-26",75.27
"2022-4-25",74.21
"2022-4-22",77.17
"2022-4-21",79.36
"2022-4-20",80.48
"2022-4-19",80.62
"2022-4-14",81.16
"2022-4-13",80.42
"2022-4-12",78.87
"2022-4-11",77.25
"2022-4-8",75.61
"2022-4-7",75.61
"2022-4-6",75.91
"2022-4-5",77.82
"2022-4-4",78.01
"2022-4-1",76.31
"2022-3-31",76.31
"2022-3-30",75.58
"2022-3-29",76.35
"2022-3-28",77.64
"2022-3-25",77.89
"2022-3-24",77.96
"2022-3-23",78.46
"2022-3-22",77.69
"2022-3-21",76.45
"2022-3-18",76.24
"2022-3-17",75.77
"2022-3-16",74.94
"2022-3-15",74.57
"2022-3-14",75.61
"2022-3-10",74.41
"2022-3-9",76.53
"2022-3-8",77.94
"2022-3-7",75.8
"2022-3-4",76.19
"2022-3-3",79.52
"2022-3-2",74.78
"2022-3-1",73.16
"2022-2-28",69.45
"2022-2-25",67.01
"2022-2-24",63.52
"2022-2-23",69.85
"2022-2-22",67.56
"2022-2-21",69.81
"2022-2-18",71.59
"2022-2-17",72.37
"2022-2-16",74.41
"2022-2-15",72.22
"2022-2-14",69.61
"2022-2-11",71.02
"2022-2-10",72.24
"2022-2-9",72.49
"2022-2-8",70.04
"2022-2-7",68.58
"2022-2-4",70.03
"2022-2-3",71.22
"2022-2-2",71.99
"2022-2-1",71.62
"2022-1-31",71.91
"2022-1-28",72.44
"2022-1-27",73.3
"2022-1-26",74.76
"2022-1-25",73.93
"2022-1-24",75.1
"2022-1-21",78.26
"2022-1-20",80.03
"2022-1-18",80.87
"2022-1-17",81.73
"2022-1-14",82.19
"2022-1-13",82.16
"2022-1-12",80.23
"2022-1-11",77.92
"2022-1-10",78.93
"2022-1-7",79.28
"2022-1-5",77.59
"2022-1-4",75.67
"2022-1-3",74.84
"2021-12-30",73.96
"2021-12-29",73.33
"2021-12-28",72.4
"2021-12-27",72.3
"2021-12-23",72.75
"2021-12-22",72.01
"2021-12-21",72.02
"2021-12-20",70.83
"2021-12-17",73.1
"2021-12-16",73.6
"2021-12-15",73.1
"2021-12-14",74.02
"2021-12-13",74.43
"2021-12-10",73.75
"2021-12-9",74.21
"2021-12-8",76.08
"2021-12-7",75.46
"2021-12-6",74.2
"2021-12-3",74.64
"2021-12-2",73.67
"2021-12-1",73.82
"2021-11-30",70.88
"2021-11-29",73.03
"2021-11-26",75.16
"2021-11-25",79.36
"2021-11-24",80.38
"2021-11-23",79.26
"2021-11-22",78.53
"2021-11-19",78.4
"2021-11-18",79.25
"2021-11-17",82.29
"2021-11-16",82.73
"2021-11-15",82.98
"2021-11-12",86.91
"2021-11-10",88.44
"2021-11-9",87.36
"2021-11-8",88.54
"2021-11-5",88.43
"2021-11-4",88.3
"2021-11-3",87.25
"2021-11-2",87.41
"2021-10-29",87.01
"2021-10-28",88.91
"2021-10-27",88.47
"2021-10-26",89.76
"2021-10-25",88.05
"2021-10-22",86.77
"2021-10-21",88.42
"2021-10-20",89.26
"2021-10-19",89.35
"2021-10-18",89.88
"2021-10-15",90.35
"2021-10-14",88.45
"2021-10-13",87.32
"2021-10-12",87.33
"2021-10-11",85.55
"2021-10-8",82.64
"2021-10-7",80.87
"2021-10-6",81.01
"2021-10-5",81.17
"2021-10-4",81.75
"2021-10-1",81.37
"2021-9-30",81.09
"2021-9-29",79.34
"2021-9-28",79.11
"2021-9-27",79.71
"2021-9-24",77.56
"2021-9-23",77.34
"2021-9-22",76.64
"2021-9-21",75.1
"2021-9-20",74.03
"2021-9-17",76.64
"2021-9-16",78.03
"2021-9-15",79.43
"2021-9-14",78.73
"2021-9-13",75.69
"2021-9-10",74.55
"2021-9-9",74.72
"2021-9-8",74.86
"2021-9-7",74.79
"2021-9-6",74.08
"2021-9-3",74.01
"2021-9-2",72.95
"2021-9-1",74.15
"2021-8-31",74.03
"2021-8-30",73.72
"2021-8-27",72.98
"2021-8-26",73.35
"2021-8-25",73.83
"2021-8-24",73.65
"2021-8-23",72.34
"2021-8-20",70.8
"2021-8-19",71.17
"2021-8-18",73.61
"2021-8-17",73.87
"2021-8-16",74.72
"2021-8-13",75.05
"2021-8-12",75.03
"2021-8-11",74.25
"2021-8-10",73.46
"2021-8-9",73.41
"2021-8-6",73.93
"2021-8-5",74.23
"2021-8-4",73.97
"2021-8-3",73.76
"2021-8-2",72.91
"2021-7-30",72.67
"2021-7-29",73.41
"2021-7-28",70.82
"2021-7-27",69.87
"2021-7-26",69.63
"2021-7-23",68.96
"2021-7-22",69.79
"2021-7-20",72.18
"2021-7-19",72.72
"2021-7-16",74.39
"2021-7-15",74.71
"2021-7-14",75.18
"2021-7-13",75.06
"2021-7-12",74.88
"2021-7-9",73.96
"2021-7-8",73.69
"2021-7-7",75.48
"2021-7-6",77.01
"2021-7-5",77.88
"2021-7-2",78.21
"2021-7-1",77.99
"2021-6-30",76.68
"2021-6-29",77.14
"2021-6-25",79.71
"2021-6-24",79.52
"2021-6-23",79.87
"2021-6-22",79.99
"2021-6-21",78.02
"2021-6-18",79.67
"2021-6-17",81.39
"2021-6-16",82.12
"2021-6-15",82.8
"2021-6-14",82.34
"2021-6-11",81.75
"2021-6-10",81.18
"2021-6-9",80.36
"2021-6-8",81.03
"2021-6-7",82.33
"2021-6-4",81.67
"2021-6-2",81.42
"2021-6-1",82.72
"2021-5-31",81.24
"2021-5-28",79.17
"2021-5-27",77.44
"2021-5-26",76.18
"2021-5-25",75.74
"2021-5-24",76.03
"2021-5-21",76.74
"2021-5-20",75.88
"2021-5-19",75.44
"2021-5-18",76.9
"2021-5-17",76.69
"2021-5-14",75.68
"2021-5-13",72.99
"2021-5-12",72.51
"2021-5-11",71.52
"2021-5-10",71.4
"2021-5-7",69.83
"2021-5-6",69.71
"2021-5-5",68.25
"2021-5-4",67.41
"2021-4-30",67.47
"2021-4-29",68.18
"2021-4-28",66.86
"2021-4-27",66.64
"2021-4-26",66.37
"2021-4-23",66.3
"2021-4-22",67.05
"2021-4-21",66.1
"2021-4-20",66.66
"2021-4-19",66.87
"2021-4-16",67.05
"2021-4-15",66.69
"2021-4-14",64.65
"2021-4-13",64.24
"2021-4-12",64.35
"2021-4-9",64.6
"2021-4-8",65.84
"2021-4-6",65.21
"2021-4-1",64.02
"2021-3-31",64.16
"2021-3-30",64.37
"2021-3-29",64.24
"2021-3-26",62.92
"2021-3-25",62.34
"2021-3-24",62.84
"2021-3-23",63.28
"2021-3-22",63.78
"2021-3-19",63.9
"2021-3-18",65.34
"2021-3-17",64.33
"2021-3-16",67.55
"2021-3-15",69.26
